127.0.0.1 - - [09/Apr/2020:15:20:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/ready.css HTTP/1.1" 200 113422
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/demo.css HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 200 95102
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/popper.min.js HTTP/1.1" 200 18994
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 200 40214
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/jquery.mapael.min.js HTTP/1.1" 200 125090
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:41 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/maps/world_countries.min.js HTTP/1.1" 200 125619
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:42 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:42 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:20:42 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 200 12248
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:44 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/ready.css HTTP/1.1" 200 113422
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [09/Apr/2020:15:21:45 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
